name,genres,rating,personal_notes,personal_rating
Adventure Pinball Bundle,"Simulator, Pinball, Arcade",Missing, ,0
Boku to Joi no Shinsatsu Nisshi: Premium Edition,"Simulator, Visual Novel",Missing, muy fome,0
